Wind velocity	6kts	8kts	10kts	12kts 14kts	16kts	20kts
Beat angles	42.2°	40.5°	40.5°	39.4° 38.6°	38.3°	38.9°
Beat VMG	3.25	3.9	4.42	4.75	4.88	4.93 4.9
52°	4.9	5.81	6.46	6.76	6.88	6.93	6.95
60°	5.15	6.08	6.65	6.92	7.06	7.12	7.15
75°	5.34	6.28	6.79	7.06	7.26	7.4	7.52
90°	5.29	6.24	6.84	7.14	7.34	7.56	7.94
110°	5.15	6.25	6.9	7.26	7.59	7.9	8.24
120°	5	6.08	6.81	7.19	7.53	7.9	8.59
135°	4.53	5.56	6.44	6.94	7.28	7.62	8.41
150°	3.85	4.89	5.75	6.51	6.95	7.26	7.93
Run VMG	3.34	4.23	5	5.7	6.34	6.83	7.45
Gybe angles	146.6°	150.8°	153.1° 156.9°	180°	180°	180°
